siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
775577018;41.0;2017.0;500 à 999 salariés
775589187;41.0;2017.0;500 à 999 salariés
775590847;42.0;2017.0;1 000 à 1 999 salariés
775591076;41.0;2017.0;500 à 999 salariés
775591563;42.0;2017.0;1 000 à 1 999 salariés
775602527;41.0;2017.0;500 à 999 salariés
775605595;41.0;2017.0;500 à 999 salariés
775615313;41.0;2017.0;500 à 999 salariés
775615511;41.0;2017.0;500 à 999 salariés
775616162;41.0;2017.0;500 à 999 salariés
775616162;41.0;2017.0;500 à 999 salariés
775624240;41.0;2017.0;500 à 999 salariés
775624562;41.0;2017.0;500 à 999 salariés
775624711;41.0;2017.0;500 à 999 salariés
775630445;41.0;2017.0;500 à 999 salariés
775630445;42.0;2017.0;1 000 à 1 999 salariés
775633308;41.0;2017.0;500 à 999 salariés
775633308;41.0;2017.0;500 à 999 salariés
775633308;41.0;2017.0;500 à 999 salariés
775633308;41.0;2017.0;500 à 999 salariés
775633308;41.0;2017.0;500 à 999 salariés
775634249;41.0;2017.0;500 à 999 salariés
775642069;42.0;2017.0;1 000 à 1 999 salariés
775648231;42.0;2017.0;1 000 à 1 999 salariés
775657612;41.0;2017.0;500 à 999 salariés
775658354;41.0;2017.0;500 à 999 salariés
775661390;41.0;2017.0;500 à 999 salariés
775661796;41.0;2017.0;500 à 999 salariés
775661796;41.0;2017.0;500 à 999 salariés
775662257;41.0;2017.0;500 à 999 salariés
775662257;41.0;2017.0;500 à 999 salariés
775662257;42.0;2017.0;1 000 à 1 999 salariés
775662257;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;51.0;2017.0;2 000 à 4 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;42.0;2017.0;1 000 à 1 999 salariés
775663438;51.0;2017.0;2 000 à 4 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663438;41.0;2017.0;500 à 999 salariés
775663958;42.0;2017.0;1 000 à 1 999 salariés
775664873;41.0;2017.0;500 à 999 salariés
775665433;41.0;2017.0;500 à 999 salariés
775665599;42.0;2017.0;1 000 à 1 999 salariés
775665615;51.0;2017.0;2 000 à 4 999 salariés
775665631;41.0;2017.0;500 à 999 salariés
775665912;42.0;2017.0;1 000 à 1 999 salariés
775670284;42.0;2017.0;1 000 à 1 999 salariés
775670284;51.0;2017.0;2 000 à 4 999 salariés
775671258;41.0;2017.0;500 à 999 salariés
775672272;41.0;2017.0;500 à 999 salariés
775675739;41.0;2017.0;500 à 999 salariés
775678980;41.0;2017.0;500 à 999 salariés
775682990;51.0;2017.0;2 000 à 4 999 salariés
775684897;51.0;2017.0;2 000 à 4 999 salariés
775685019;41.0;2017.0;500 à 999 salariés
775685019;42.0;2017.0;1 000 à 1 999 salariés
775685019;51.0;2017.0;2 000 à 4 999 salariés
775685019;41.0;2017.0;500 à 999 salariés
775685019;42.0;2017.0;1 000 à 1 999 salariés
775685019;42.0;2017.0;1 000 à 1 999 salariés
775685019;42.0;2017.0;1 000 à 1 999 salariés
775685019;51.0;2017.0;2 000 à 4 999 salariés
775685019;52.0;2017.0;5 000 à 9 999 salariés
775685316;42.0;2017.0;1 000 à 1 999 salariés
775685340;41.0;2017.0;500 à 999 salariés
775685340;41.0;2017.0;500 à 999 salariés
775685399;41.0;2017.0;500 à 999 salariés
